fy,ce,agency,amount,unit,basis,source_url
105,2016,總統府,17010246,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,行政院,24638760,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,立法院,3680127,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,司法院,24836242,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,考試院,26429527,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,監察院,2304810,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,內政部,86903710,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,外交部,24431426,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,國防部,320084777,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,財政部,196045974,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,教育部,225302824,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,法務部,31718824,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,經濟部,59000710,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,交通部,112117254,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,勞動部,116802179,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,蒙藏委員會,126360,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,僑務委員會,1388304,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,原子能委員會,2926775,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,農業委員會,121792559,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,衛生福利部,198667127,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,環境保護署,4302612,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,文化部,16531292,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,海岸巡防署,14103540,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,科技部,46649229,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,金融監督管理委員會,1441613,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,國軍退除役官兵輔導委員會,124649747,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,省市地方政府,162579753,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,災害準備金,2000000,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
105,2016,第二預備金,7400000,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/105/105ctab/105c歲出機關別預算總表.xls
106,2017,總統府,15365125,千元,legal,https://ws.dgbas.gov.tw/public/data/dgbas01/106/106ctab/106c歲出機關別預算總表.xls
