fy,ce,function,amount,unit,basis,source_url
105,2016,一般政務支出,179700000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
105,2016,國防支出,309296000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
105,2016,教育科學文化支出,382377000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
105,2016,經濟發展支出,266721000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
105,2016,社會福利支出,460068000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
105,2016,社區發展及環境保護支出,17456000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
105,2016,退休撫卹支出,146829000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
105,2016,債務支出,113204000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
105,2016,一般補助及其他支出,64296000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,一般政務支出,176006000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,國防支出,305698000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,教育科學文化支出,401290000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,經濟發展支出,256727000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,社會福利支出,472195000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,社區發展及環境保護支出,16437000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,退休撫卹支出,137882000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,債務支出,101811000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
106,2017,一般補助及其他支出,59255000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,一般政務支出,185066000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,國防支出,313740000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,教育科學文化支出,386653000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,經濟發展支出,233090000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,社會福利支出,487343000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,社區發展及環境保護支出,18003000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,退休撫卹支出,127650000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,債務支出,100725000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
107,2018,一般補助及其他支出,57142000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,一般政務支出,185368000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,國防支出,324121000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,教育科學文化支出,406952000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,經濟發展支出,241661000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,社會福利支出,490250000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,社區發展及環境保護支出,18543000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,退休撫卹支出,133836000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,債務支出,98207000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
108,2019,一般補助及其他支出,56869000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,一般政務支出,190774000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,國防支出,335527000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,教育科學文化支出,412059000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,經濟發展支出,250087000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,社會福利支出,523399000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,社區發展及環境保護支出,22940000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,退休撫卹支出,143394000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,債務支出,95373000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
109,2020,一般補助及其他支出,65800000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,一般政務支出,195755000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,國防支出,346220000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,教育科學文化支出,411940000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,經濟發展支出,250575000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,社會福利支出,556750000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,社區發展及環境保護支出,20793000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,退休撫卹支出,145844000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,債務支出,88208000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
110,2021,一般補助及其他支出,72981000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,一般政務支出,204601000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,國防支出,354648000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,教育科學文化支出,441462000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,經濟發展支出,255273000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,社會福利支出,615100000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,社區發展及環境保護支出,26233000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,退休撫卹支出,147195000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,債務支出,82895000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
111,2022,一般補助及其他支出,86549000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,一般政務支出,225580000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,國防支出,386964000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,教育科學文化支出,481781000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,經濟發展支出,476170000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,社會福利支出,706810000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,社區發展及環境保護支出,28085000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,退休撫卹支出,148620000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,債務支出,83267000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
112,2023,一般補助及其他支出,90499000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,一般政務支出,238322000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,國防支出,416170000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,教育科學文化支出,538090000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,經濟發展支出,434136000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,社會福利支出,781264000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,社區發展及環境保護支出,27878000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,退休撫卹支出,169770000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,債務支出,88752000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
113,2024,一般補助及其他支出,89797000,千元,final,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,一般政務支出,264871000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,國防支出,459075000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,教育科學文化支出,582882000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,經濟發展支出,417057000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,社會福利支出,815476000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,社區發展及環境保護支出,29366000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,退休撫卹支出,181138000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,債務支出,106308000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
114,2025,一般補助及其他支出,68794000,千元,legal,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,一般政務支出,302524000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,國防支出,548815000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,教育科學文化支出,556628000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,經濟發展支出,427465000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,社會福利支出,831798000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,社區發展及環境保護支出,26609000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,退休撫卹支出,184417000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,債務支出,106308000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
115,2026,一般補助及其他支出,50410000,千元,proposed,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6)
