fy,ce,proposed_exp,legal_exp,cut_by_ly,final_exp,execution_rate_pct,rate_basis,source_url
105,2016,1998200000,1976000000,-22200000,1939947000,98.18,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/News_Content.aspx?n=3602&s=25581
106,2017,1998000000,1974000000,-24000000,1927301000,97.63,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/News_Content.aspx?n=3602&s=23541
107,2018,1991800000,1966900000,-24900000,1909412000,97.08,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/ct.asp?xItem=42441&ctNode=5624&mp=1
108,2019,2022000000,1998000000,-24000000,1955807000,97.89,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/News_Content.aspx?n=3602&s=26834
109,2020,2102200000,2077600000,-24600000,2039353000,98.16,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/News_Content.aspx?n=3602&s=24406
110,2021,2161500000,2135900000,-25600000,2089066000,97.81,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/News_Content.aspx?n=3602&s=27272
111,2022,2278400000,2251100000,-27300000,2213956000,98.35,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/News_Content.aspx?n=3602&s=209620
112,2023,2719100000,2689100000,-30000000,2627776000,97.72,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/News_Content.aspx?n=3602&s=230687
113,2024,2881800000,2851900000,-29900000,2784179000,97.63,決算數/法定預算數（審議後數）；自算,https://www.dgbas.gov.tw/News_Content.aspx?n=3602&s=232744
114,2025,3132468909,2924967000,-207501909,,,,https://ws.dgbas.gov.tw/001/Upload/461/relfile/11333/235176/b%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf (參考表6，上年度預算數欄)
115,2026,3034974371,2986974371,-48000000,,,,https://www.cna.com.tw/news/aipl/202608140278.aspx — 僅新聞交叉校對，非主計總處新聞稿原文（三讀日期2026-08-14，發稿當下查無主計總處「115年度中央政府總預算案立法院審議結果」新聞稿），歲入審議後數CNA報導6019.9939億元增列，因果不明確不予採信，故revenue留null
