資料所屬年度,政府別,公共債務法規範之債務_1年以上債務_金額_新臺幣百萬元,公共債務法規範之債務_1年以上債務_比率_百分比,公共債務法規範之債務_未滿1年債務_金額_新臺幣百萬元,公共債務法規範之債務_未滿1年債務_比率_百分比,公共債務法規範之債務_債務合計_金額_新臺幣百萬元,公共債務法規範之債務_自償性債務_新臺幣百萬元
114,合計,6769635,28.145900%,107325,-,6876960,731565
114,中央政府,6073045,25.249700%,70000,1.99%,6143045,268299
114,地方政府,696590,2.896200%,37325,2.08%,733916,463266
114,直轄市,613588,2.551100%,17008,1.51%,630596,443767
114,臺北市,116913,0.486100%,0,0.00%,116913,66598
114,高雄市,224317,0.932600%,0,0.00%,224317,86283
114,新北市,95900,0.398700%,7500,3.37%,103400,147575
114,臺中市,109658,0.455900%,1839,0.96%,111497,33870
114,臺南市,39800,0.165500%,0,0.00%,39800,9940
114,桃園市,27000,0.112300%,7669,4.49%,34669,99501
114,縣市,83002,0.345100%,20317,3.62%,103319,19156
114,宜蘭縣,10829,28.87%,3505,10.50%,14334,6417
114,新竹縣,7100,14.53%,2081,5.06%,9181,134
114,苗栗縣,19578,43.22%,13045,38.97%,32624,4019
114,彰化縣,2003,2.43%,1686,2.34%,3689,400
114,南投縣,0,0.00%,0,0.00%,0,0
114,雲林縣,12615,19.72%,0,0.00%,12615,2249
114,嘉義縣,8420,14.70%,0,0.00%,8420,75
114,屏東縣,8600,11.24%,0,0.00%,8600,1500
114,臺東縣,0,0.00%,0,0.00%,0,564
114,花蓮縣,6620,16.28%,0,0.00%,6620,0
114,澎湖縣,0,0.00%,0,0.00%,0,466
114,基隆市,4000,12.44%,0,0.00%,4000,198
114,新竹市,3237,9.80%,0,0.00%,3237,658
114,嘉義市,0,0.00%,0,0.00%,0,1696
114,金門縣,0,0.00%,0,0.00%,0,0
114,連江縣,0,0.00%,0,0.00%,0,779
114,鄉鎮市,0,0.000000%,0,0.00%,0,343
113,合計,6891308,30.317200%,72626,-,6963934,688695
113,中央政府,6147987,27.047100%,30000,0.96%,6177987,256254
113,地方政府,743322,3.270100%,42626,2.57%,785947,432441
113,直轄市,642193,2.825200%,20475,1.97%,662668,412342
113,臺北市,135625,0.596700%,0,0.00%,135625,63529
113,高雄市,229167,1.008200%,0,0.00%,229167,76821
113,新北市,94000,0.413500%,10000,4.71%,104000,135586
113,臺中市,110872,0.487800%,4475,2.53%,115347,43500
113,臺南市,44400,0.195300%,0,0.00%,44400,1432
113,桃園市,28130,0.123800%,6000,3.83%,34130,91473
113,縣市,101128,0.444900%,22151,4.26%,123279,19814
113,宜蘭縣,10942,30.98%,7005,22.66%,17947,6653
113,新竹縣,5300,12.51%,1000,2.82%,6300,145
113,苗栗縣,20610,47.70%,14145,44.76%,34755,5332
113,彰化縣,9705,12.97%,0,0.00%,9705,397
113,南投縣,3019,6.61%,0,0.00%,3019,0
113,雲林縣,13805,22.79%,0,0.00%,13805,1952
113,嘉義縣,8950,18.13%,0,0.00%,8950,125
113,屏東縣,11000,15.15%,0,0.00%,11000,2039
113,臺東縣,0,0.00%,0,0.00%,0,555
113,花蓮縣,7350,20.04%,0,0.00%,7350,0
113,澎湖縣,0,0.00%,0,0.00%,0,466
113,基隆市,5000,16.14%,0,0.00%,5000,130
113,新竹市,5447,17.37%,0,0.00%,5447,649
113,嘉義市,0,0.00%,0,0.00%,0,1191
113,金門縣,0,0.00%,0,0.00%,0,0
113,連江縣,0,0.00%,0,0.00%,0,179
113,鄉鎮市,0,0.000000%,0,0.00%,0,286
112,合計,6847816,31.792400%,91902,-,6939719,658378
112,中央政府,6057789,28.124500%,30000,0.94%,6087789,260378
112,地方政府,790028,3.667900%,61902,3.97%,851930,398000
112,直轄市,670833,3.114500%,32812,3.33%,703645,377672
112,臺北市,145141,0.673800%,0,0.00%,145141,61104
112,高雄市,238728,1.108300%,0,0.00%,238728,61359
112,新北市,100896,0.468400%,17100,8.65%,117996,128334
112,臺中市,109068,0.506400%,9508,5.67%,118576,49800
112,臺南市,49400,0.229300%,0,0.00%,49400,1387
112,桃園市,27600,0.128100%,6204,4.34%,33804,75689
112,縣市,119181,0.553300%,29060,5.95%,148241,19867
112,宜蘭縣,11056,33.62%,7505,24.81%,18561,6755
112,新竹縣,5800,13.59%,1488,4.27%,7288,156
112,苗栗縣,20841,50.95%,14559,48.12%,35401,5370
112,彰化縣,12607,17.99%,3061,4.99%,15667,397
112,南投縣,6351,17.45%,0,0.00%,6351,0
112,雲林縣,15375,26.13%,441,0.97%,15816,1402
112,嘉義縣,10350,21.97%,0,0.00%,10350,164
112,屏東縣,14000,20.67%,0,0.00%,14000,1945
112,臺東縣,1953,7.02%,0,0.00%,1953,667
112,花蓮縣,7450,22.65%,1200,4.14%,8650,0
112,澎湖縣,0,0.00%,806,5.82%,806,466
112,基隆市,5941,21.74%,0,0.00%,5941,0
112,新竹市,7457,25.10%,0,0.00%,7457,650
112,嘉義市,0,0.00%,0,0.00%,0,722
112,金門縣,0,0.00%,0,0.00%,0,0
112,連江縣,0,0.00%,0,0.00%,0,1173
112,鄉鎮市,14,0.000100%,30,0.03%,44,461
111,合計,6727443,33.210400%,114729,-,6842172,595507
111,中央政府,5920494,29.226800%,30000,1.23%,5950494,237802
111,地方政府,806950,3.983600%,84729,5.75%,891678,357705
111,直轄市,675251,3.333400%,45725,4.92%,720976,338483
111,臺北市,154355,0.762000%,0,0.00%,154355,56382
111,高雄市,238728,1.178500%,0,0.00%,238728,51245
111,新北市,103200,0.509500%,22000,11.80%,125200,116846
111,臺中市,109068,0.538400%,9968,6.13%,119036,45485
111,臺南市,50400,0.248800%,500,0.49%,50900,1502
111,桃園市,19500,0.096300%,13258,9.40%,32758,67023
111,縣市,131654,0.649900%,38909,8.55%,170564,18688
111,宜蘭縣,11174,37.08%,7817,28.20%,18991,6693
111,新竹縣,6800,16.93%,1191,3.68%,7991,167
111,苗栗縣,21128,56.95%,15040,55.68%,36168,5511
111,彰化縣,13867,20.68%,5526,9.32%,19392,394
111,南投縣,9176,24.96%,0,0.00%,9176,0
111,雲林縣,16287,29.74%,2223,5.64%,18511,89
111,嘉義縣,11050,23.96%,1700,5.09%,12750,502
111,屏東縣,16000,25.06%,0,0.00%,16000,1739
111,臺東縣,2577,9.55%,400,1.75%,2977,884
111,花蓮縣,7750,24.53%,2420,8.82%,10170,0
111,澎湖縣,925,6.09%,792,6.00%,1717,466
111,基隆市,6704,25.59%,0,0.00%,6704,0
111,新竹市,8217,29.12%,1800,7.03%,10017,800
111,嘉義市,0,0.00%,0,0.00%,0,520
111,金門縣,0,0.00%,0,0.00%,0,0
111,連江縣,0,0.00%,0,0.00%,0,923
111,鄉鎮市,44,0.000200%,94,0.11%,138,534
110,合計,6550430,34.225000%,210512,-,6760943,516448
110,中央政府,5708896,29.828100%,115000,4.17%,5823896,210459
110,地方政府,841535,4.396900%,95512,6.71%,937047,305989
110,直轄市,702960,3.672900%,49706,5.47%,752666,284605
110,臺北市,159697,0.834400%,0,0.00%,159697,44644
110,高雄市,248751,1.299700%,0,0.00%,248751,43663
110,新北市,104000,0.543400%,28000,15.61%,132000,106743
110,臺中市,107212,0.560200%,10421,6.92%,117633,40349
110,臺南市,52800,0.275900%,2285,2.27%,55085,1446
110,桃園市,30500,0.159400%,9000,6.53%,39500,47761
110,縣市,138505,0.723700%,45712,10.57%,184217,20831
110,宜蘭縣,11288,40.13%,8503,32.71%,19791,5440
110,新竹縣,7630,20.45%,2000,6.59%,9630,189
110,苗栗縣,21373,59.28%,15722,61.30%,37095,6378
110,彰化縣,15267,25.41%,6928,13.01%,22195,193
110,南投縣,9976,28.82%,0,0.00%,9976,1464
110,雲林縣,17149,31.37%,2363,5.91%,19513,864
110,嘉義縣,12405,26.64%,2780,7.93%,15185,598
110,屏東縣,16360,27.16%,0,0.00%,16360,1728
110,臺東縣,3157,11.75%,450,2.10%,3607,1102
110,花蓮縣,7800,26.57%,3520,14.22%,11320,0
110,澎湖縣,950,6.85%,1146,8.93%,2096,457
110,基隆市,7600,28.97%,0,0.00%,7600,0
110,新竹市,7550,26.82%,2300,9.10%,9850,1578
110,嘉義市,0,0.00%,0,0.00%,0,474
110,金門縣,0,0.00%,0,0.00%,0,0
110,連江縣,0,0.00%,0,0.00%,0,367
110,鄉鎮市,70,0.000400%,94,0.11%,164,552
109,合計,6399040,34.647800%,245663,-,6644703,433365
109,中央政府,5535896,29.974200%,125000,5.04%,5660896,184926
109,地方政府,863144,4.673500%,120663,8.96%,983807,248439
109,直轄市,717247,3.883600%,69664,8.02%,786911,223710
109,臺北市,166354,0.900700%,0,0.00%,166354,36185
109,高雄市,248881,1.347600%,1000,0.68%,249881,37640
109,新北市,106000,0.573900%,32100,17.96%,138100,83204
109,臺中市,107212,0.580500%,17314,11.82%,124526,40688
109,臺南市,52800,0.285900%,6250,6.20%,59050,1813
109,桃園市,36000,0.194900%,13000,10.58%,49000,24181
109,縣市,145790,0.789400%,50925,12.72%,196714,24239
109,宜蘭縣,11403,43.32%,8988,37.38%,20391,4756
109,新竹縣,11230,31.83%,4000,13.94%,15230,93
109,苗栗縣,21604,58.64%,15908,66.46%,37512,10590
109,彰化縣,16433,29.50%,7520,15.57%,23953,193
109,南投縣,10253,30.36%,0,0.00%,10253,2771
109,雲林縣,17323,34.89%,3470,10.52%,20793,610
109,嘉義縣,12905,30.41%,2780,9.43%,15685,298
109,屏東縣,16680,29.78%,0,0.00%,16680,29
109,臺東縣,3460,12.99%,814,3.74%,4274,1223
109,花蓮縣,7900,27.31%,3770,15.25%,11670,1188
109,澎湖縣,974,7.74%,875,7.88%,1849,514
109,基隆市,7725,30.91%,0,0.00%,7725,0
109,新竹市,7900,29.83%,2800,11.90%,10700,1745
109,嘉義市,0,0.00%,0,0.00%,0,0
109,金門縣,0,0.00%,0,0.00%,0,0
109,連江縣,0,0.00%,0,0.00%,0,230
109,鄉鎮市,108,0.000600%,74,0.09%,182,489
108,合計,6187765,34.431500%,205242,-,6393008,432955
108,中央政府,5327369,29.643900%,65000,3.08%,5392369,217829
108,地方政府,860396,4.787600%,140242,10.98%,1000639,215126
108,直轄市,710989,3.956300%,84102,10.50%,795091,185053
108,臺北市,173778,0.967000%,0,0.00%,173778,31192
108,高雄市,245774,1.367600%,2000,1.50%,247774,36178
108,新北市,102400,0.569800%,34700,21.20%,137100,62360
108,臺中市,107212,0.596600%,24402,18.17%,131615,46231
108,臺南市,52825,0.293900%,7745,8.98%,60569,2475
108,桃園市,29000,0.161400%,15255,13.32%,44255,6617
108,縣市,149246,0.830500%,56066,13.99%,205312,29593
108,宜蘭縣,11521,42.47%,9293,37.21%,20814,4364
