REF_AREA,Reference area,Measure,TIME_PERIOD,OBS_VALUE
AUS,Australia,Minimum relative to average wages of full-time workers,2022,54.1597211900742
AUS,Australia,Minimum relative to average wages of full-time workers,2023,55.175
AUS,Australia,Minimum relative to average wages of full-time workers,2024,53.8764705882353
AUS,Australia,Minimum relative to average wages of full-time workers,2025,54.4514646754739
BEL,Belgium,Minimum relative to average wages of full-time workers,2022,44.3727821006492
BEL,Belgium,Minimum relative to average wages of full-time workers,2023,46.8796127729955
BEL,Belgium,Minimum relative to average wages of full-time workers,2024,47.6226051533204
BEL,Belgium,Minimum relative to average wages of full-time workers,2025,47.4707501242575
BGR,Bulgaria,Minimum relative to average wages of full-time workers,2022,51.6406037410908
BGR,Bulgaria,Minimum relative to average wages of full-time workers,2023,49.5623675024996
BGR,Bulgaria,Minimum relative to average wages of full-time workers,2024,51.4136589076318
BGR,Bulgaria,Minimum relative to average wages of full-time workers,2025,53.2013542230127
CAN,Canada,Minimum relative to average wages of full-time workers,2022,49.058507061197
CAN,Canada,Minimum relative to average wages of full-time workers,2023,49.6119016817594
CAN,Canada,Minimum relative to average wages of full-time workers,2024,49.907063197026
CAN,Canada,Minimum relative to average wages of full-time workers,2025,49.2421991084695
CHL,Chile,Minimum relative to average wages of full-time workers,2022,68.5071183519445
CHL,Chile,Minimum relative to average wages of full-time workers,2023,70.6080544968657
CHL,Chile,Minimum relative to average wages of full-time workers,2024,69.5380626734505
COL,Colombia,Minimum relative to average wages of full-time workers,2022,89.8876404494382
COL,Colombia,Minimum relative to average wages of full-time workers,2023,91.3385826771654
COL,Colombia,Minimum relative to average wages of full-time workers,2024,92.3076923076923
COL,Colombia,Minimum relative to average wages of full-time workers,2025,90.5438354692983
CRI,Costa Rica,Minimum relative to average wages of full-time workers,2022,87.9169327313771
CRI,Costa Rica,Minimum relative to average wages of full-time workers,2023,90.2986948717949
CRI,Costa Rica,Minimum relative to average wages of full-time workers,2024,87.1116235861407
CRI,Costa Rica,Minimum relative to average wages of full-time workers,2025,84.717360651672
CZE,Czechia,Minimum relative to average wages of full-time workers,2022,43.2946710139505
CZE,Czechia,Minimum relative to average wages of full-time workers,2023,43.7775191052179
CZE,Czechia,Minimum relative to average wages of full-time workers,2024,45.2781371280724
CZE,Czechia,Minimum relative to average wages of full-time workers,2025,46.9134131763538
DEU,Germany,Minimum relative to average wages of full-time workers,2022,46.355393610711
DEU,Germany,Minimum relative to average wages of full-time workers,2023,50.9803921568627
