[review] 詞庫 2308 筆，待審 2308 筆，model=qwen3.6:35b-a3b-coding-nvfp4，batch=12，host=http://127.0.0.1:11434
  12/2308  ok=12 flag=0 fail=0  1.4/s  eta=1603s
  24/2308  ok=21 flag=3 fail=0  1.0/s  eta=2196s
  36/2308  ok=33 flag=3 fail=0  1.2/s  eta=1942s
  48/2308  ok=44 flag=4 fail=0  1.2/s  eta=1912s
  60/2308  ok=54 flag=6 fail=0  1.2/s  eta=1854s
  72/2308  ok=60 flag=12 fail=0  1.2/s  eta=1846s
  84/2308  ok=68 flag=16 fail=0  1.2/s  eta=1902s
  96/2308  ok=77 flag=19 fail=0  1.2/s  eta=1867s
  108/2308  ok=84 flag=24 fail=0  1.2/s  eta=1856s
  120/2308  ok=91 flag=29 fail=0  1.2/s  eta=1837s
  132/2308  ok=102 flag=30 fail=0  1.2/s  eta=1812s
  144/2308  ok=110 flag=34 fail=0  1.2/s  eta=1810s
  156/2308  ok=120 flag=36 fail=0  1.2/s  eta=1794s
  168/2308  ok=126 flag=42 fail=0  1.2/s  eta=1817s
  180/2308  ok=136 flag=44 fail=0  1.2/s  eta=1808s
  192/2308  ok=146 flag=46 fail=0  1.1/s  eta=1856s
  204/2308  ok=157 flag=47 fail=0  1.1/s  eta=1869s
  216/2308  ok=168 flag=48 fail=0  1.1/s  eta=1880s
  228/2308  ok=176 flag=52 fail=0  1.1/s  eta=1895s
  240/2308  ok=185 flag=55 fail=0  1.1/s  eta=1903s
  252/2308  ok=194 flag=58 fail=0  1.1/s  eta=1926s
  264/2308  ok=204 flag=60 fail=0  1.1/s  eta=1944s
  276/2308  ok=215 flag=61 fail=0  1.0/s  eta=1944s
  288/2308  ok=225 flag=63 fail=0  1.0/s  eta=1949s
  300/2308  ok=235 flag=65 fail=0  1.0/s  eta=1943s
  312/2308  ok=243 flag=69 fail=0  1.0/s  eta=1976s
  324/2308  ok=253 flag=71 fail=0  1.0/s  eta=1965s
  336/2308  ok=262 flag=74 fail=0  1.0/s  eta=1973s
  348/2308  ok=272 flag=76 fail=0  1.0/s  eta=1971s
  360/2308  ok=280 flag=80 fail=0  0.9/s  eta=2121s
  372/2308  ok=290 flag=82 fail=0  0.9/s  eta=2088s
  384/2308  ok=299 flag=85 fail=0  0.9/s  eta=2070s
  396/2308  ok=308 flag=88 fail=0  0.9/s  eta=2050s
  408/2308  ok=317 flag=91 fail=0  0.9/s  eta=2027s
  420/2308  ok=328 flag=92 fail=0  0.9/s  eta=2009s
  432/2308  ok=337 flag=95 fail=0  0.9/s  eta=1990s
  444/2308  ok=346 flag=98 fail=0  0.9/s  eta=1983s
  456/2308  ok=354 flag=102 fail=0  0.9/s  eta=1962s
  468/2308  ok=364 flag=104 fail=0  0.9/s  eta=1939s
  480/2308  ok=372 flag=108 fail=0  1.0/s  eta=1923s
  492/2308  ok=381 flag=111 fail=0  1.0/s  eta=1907s
  504/2308  ok=389 flag=115 fail=0  1.0/s  eta=1894s
  516/2308  ok=399 flag=117 fail=0  1.0/s  eta=1878s
  528/2308  ok=411 flag=117 fail=0  1.0/s  eta=1855s
  540/2308  ok=420 flag=120 fail=0  1.0/s  eta=1859s
  552/2308  ok=430 flag=122 fail=0  1.0/s  eta=1838s
  564/2308  ok=439 flag=125 fail=0  1.0/s  eta=1826s
  576/2308  ok=448 flag=128 fail=0  1.0/s  eta=1807s
  588/2308  ok=457 flag=131 fail=0  1.0/s  eta=1791s
  600/2308  ok=466 flag=134 fail=0  1.0/s  eta=1777s
  612/2308  ok=476 flag=136 fail=0  1.0/s  eta=1764s
  624/2308  ok=487 flag=137 fail=0  1.0/s  eta=1747s
  636/2308  ok=495 flag=141 fail=0  1.0/s  eta=1732s
  648/2308  ok=507 flag=141 fail=0  1.0/s  eta=1711s
  660/2308  ok=516 flag=144 fail=0  1.0/s  eta=1699s
  672/2308  ok=525 flag=147 fail=0  1.0/s  eta=1685s
  684/2308  ok=533 flag=151 fail=0  1.0/s  eta=1673s
  696/2308  ok=542 flag=154 fail=0  1.0/s  eta=1680s
  708/2308  ok=553 flag=155 fail=0  1.0/s  eta=1666s
  720/2308  ok=559 flag=161 fail=0  1.0/s  eta=1663s
  732/2308  ok=564 flag=168 fail=0  1.0/s  eta=1653s
  744/2308  ok=573 flag=171 fail=0  1.0/s  eta=1638s
  756/2308  ok=581 flag=175 fail=0  1.0/s  eta=1633s
  768/2308  ok=592 flag=176 fail=0  1.0/s  eta=1616s
  780/2308  ok=600 flag=180 fail=0  1.0/s  eta=1605s
  792/2308  ok=609 flag=183 fail=0  1.0/s  eta=1593s
  804/2308  ok=617 flag=187 fail=0  0.9/s  eta=1594s
  816/2308  ok=626 flag=190 fail=0  0.9/s  eta=1576s
  828/2308  ok=636 flag=192 fail=0  0.9/s  eta=1560s
  840/2308  ok=646 flag=194 fail=0  0.9/s  eta=1547s
  852/2308  ok=654 flag=198 fail=0  0.9/s  eta=1533s
  864/2308  ok=664 flag=200 fail=0  1.0/s  eta=1520s
  876/2308  ok=674 flag=202 fail=0  1.0/s  eta=1503s
  888/2308  ok=680 flag=208 fail=0  0.9/s  eta=1499s
  900/2308  ok=688 flag=212 fail=0  0.9/s  eta=1482s
  912/2308  ok=697 flag=215 fail=0  0.9/s  eta=1471s
  924/2308  ok=709 flag=215 fail=0  1.0/s  eta=1456s
  936/2308  ok=714 flag=222 fail=0  0.9/s  eta=1449s
  948/2308  ok=722 flag=226 fail=0  0.9/s  eta=1436s
  960/2308  ok=731 flag=229 fail=0  0.9/s  eta=1426s
  972/2308  ok=741 flag=231 fail=0  0.9/s  eta=1410s
  984/2308  ok=751 flag=233 fail=0  0.9/s  eta=1396s
  996/2308  ok=761 flag=235 fail=0  0.9/s  eta=1381s
  1008/2308  ok=769 flag=239 fail=0  1.0/s  eta=1366s
  1020/2308  ok=778 flag=242 fail=0  1.0/s  eta=1352s
  1032/2308  ok=789 flag=243 fail=0  1.0/s  eta=1337s
  1044/2308  ok=799 flag=245 fail=0  1.0/s  eta=1323s
  1056/2308  ok=811 flag=245 fail=0  1.0/s  eta=1307s
  1068/2308  ok=821 flag=247 fail=0  1.0/s  eta=1293s
  1080/2308  ok=832 flag=248 fail=0  1.0/s  eta=1278s
  1092/2308  ok=842 flag=250 fail=0  1.0/s  eta=1263s
  1104/2308  ok=853 flag=251 fail=0  1.0/s  eta=1249s
  1116/2308  ok=862 flag=254 fail=0  1.0/s  eta=1237s
  1128/2308  ok=871 flag=257 fail=0  1.0/s  eta=1222s
  1140/2308  ok=880 flag=260 fail=0  1.0/s  eta=1209s
  1152/2308  ok=890 flag=262 fail=0  1.0/s  eta=1197s
  1164/2308  ok=899 flag=265 fail=0  1.0/s  eta=1185s
  1176/2308  ok=911 flag=265 fail=0  1.0/s  eta=1170s
  1188/2308  ok=921 flag=267 fail=0  1.0/s  eta=1155s
  1200/2308  ok=930 flag=270 fail=0  1.0/s  eta=1142s
  1212/2308  ok=940 flag=272 fail=0  1.0/s  eta=1129s
  1224/2308  ok=950 flag=274 fail=0  1.0/s  eta=1116s
  1236/2308  ok=958 flag=278 fail=0  1.0/s  eta=1102s
  1248/2308  ok=968 flag=280 fail=0  1.0/s  eta=1091s
  1260/2308  ok=977 flag=283 fail=0  1.0/s  eta=1079s
  1272/2308  ok=987 flag=285 fail=0  1.0/s  eta=1065s
  1284/2308  ok=995 flag=289 fail=0  1.0/s  eta=1053s
  1296/2308  ok=1003 flag=293 fail=0  1.0/s  eta=1040s
  1308/2308  ok=1014 flag=294 fail=0  1.0/s  eta=1026s
  1320/2308  ok=1022 flag=298 fail=0  1.0/s  eta=1013s
  1332/2308  ok=1030 flag=302 fail=0  1.0/s  eta=1000s
  1344/2308  ok=1042 flag=302 fail=0  1.0/s  eta=986s
  1356/2308  ok=1051 flag=305 fail=0  1.0/s  eta=973s
  1368/2308  ok=1062 flag=306 fail=0  1.0/s  eta=960s
  1380/2308  ok=1070 flag=310 fail=0  1.0/s  eta=948s
  1392/2308  ok=1078 flag=314 fail=0  1.0/s  eta=937s
  1404/2308  ok=1087 flag=317 fail=0  1.0/s  eta=925s
  1416/2308  ok=1097 flag=319 fail=0  1.0/s  eta=912s
